1001	1	2026-01-05 09:15:00	ENVIADO	ONLINE
1002	2	2026-01-08 10:30:00	ENVIADO	LOJA
1003	3	2026-01-10 14:45:00	EM_PROCESSAMENTO	VENDA_EXTERNA
1004	4	2026-01-13 16:20:00	ENTREGUE	ONLINE
1005	5	2026-01-15 11:05:00	ENVIADO	ONLINE
1006	6	2026-01-18 13:40:00	CANCELADO	LOJA
1007	7	2026-01-21 17:55:00	ENTREGUE	VENDA_EXTERNA
1008	8	2026-01-24 08:10:00	EM_PROCESSAMENTO	ONLINE
1009	1	2026-02-02 12:25:00	ENTREGUE	ONLINE
1010	3	2026-02-06 15:35:00	ENVIADO	VENDA_EXTERNA
1011	5	2026-02-09 18:05:00	EM_PROCESSAMENTO	ONLINE
1012	7	2026-02-12 09:50:00	ENTREGUE	LOJA
